GEO_ID,Population 18 to 24 years,Population 18 to 24 years-Less than high school graduate,Population 18 to 24 years-High school graduate (includes equivalency),Population 18 to 24 years-Some college or associate's degree,Population 18 to 24 years-Bachelor's degree or higher,Population 25 years and over,Population 25 years and over-Less than 9th grade,"Population 25 years and over-9th to 12th grade, no diploma",Population 25 years and over-High school graduate (includes equivalency),"Population 25 years and over-Some college, no degree",Population 25 years and over-Associate's degree,Population 25 years and over-Bachelor's degree,Population 25 years and over-Graduate or professional degree,Population 25 years and over-High school graduate or higher,Population 25 years and over-Bachelor's degree or higher
1400000US53033004702,149,0,30,0,119,2801,34,12,89,158,94,1441,973,2755,2414
1400000US53033004703,235,0,0,54,181,3117,0,0,255,192,27,1903,740,3117,2643
1400000US53033004800,284,10,26,155,93,4381,0,33,287,392,248,1851,1570,4348,3421
1400000US53033004901,743,0,61,113,569,3324,22,91,343,358,168,1395,947,3211,2342
1400000US53033004902,500,0,30,118,352,2809,0,0,111,297,121,1364,916,2809,2280
1400000US53033005000,460,56,52,138,214,3459,36,103,178,385,279,1306,1172,3320,2478
1400000US53033005100,236,54,28,59,95,2705,18,62,172,238,156,1108,951,2625,2059
1400000US53033005201,689,20,66,374,229,2757,0,16,111,555,482,806,787,2741,1593
1400000US53033005202,1929,0,209,916,804,1280,17,0,111,89,14,576,473,1263,1049
1400000US53033005303,3308,0,844,2356,108,142,0,27,4,38,5,29,39,115,68
1400000US53033005304,2891,22,941,1855,73,184,0,9,15,39,11,72,38,175,110
1400000US53033005305,1254,43,259,766,186,967,13,14,30,266,14,396,234,940,630
1400000US53033005306,2063,14,307,1349,393,1659,75,70,102,244,183,473,512,1514,985
1400000US53033005307,3028,40,670,2130,188,185,0,10,27,30,17,81,20,175,101
1400000US53033005401,253,0,55,55,143,2829,16,10,109,208,47,1494,945,2803,2439
1400000US53033005402,454,0,9,218,227,2601,38,0,104,319,94,958,1088,2563,2046
1400000US53033005600,79,0,42,0,37,5287,62,0,313,619,415,1832,2046,5225,3878
1400000US53033005700,289,0,56,178,55,5022,46,26,396,588,250,2138,1578,4950,3716
1400000US53033005801,569,0,37,233,299,5247,16,7,348,542,444,2413,1477,5224,3890
1400000US53033005803,102,0,15,13,74,2627,4,69,108,456,114,1075,801,2554,1876
1400000US53033005804,383,0,200,114,69,2104,58,0,82,213,232,961,558,2046,1519
1400000US53033005901,1909,49,112,1573,175,2023,0,0,250,162,62,923,626,2023,1549
1400000US53033005902,172,51,13,62,46,3060,14,15,41,433,181,1355,1021,3031,2376
1400000US53033006000,678,10,28,450,190,4969,27,61,484,857,168,1972,1400,4881,3372
1400000US53033006100,253,15,34,75,129,4921,16,16,208,551,126,1803,2201,4889,4004
1400000US53033006200,302,38,41,56,167,3410,13,0,115,221,107,1181,1773,3397,2954
1400000US53033006300,216,32,0,137,47,4314,2,17,52,404,164,2156,1519,4295,3675
1400000US53033006400,291,32,117,67,75,2710,15,13,104,216,57,1262,1043,2682,2305
1400000US53033006500,302,9,13,84,196,4125,0,50,153,395,177,1923,1427,4075,3350
1400000US53033006600,348,0,15,111,222,3847,8,0,72,380,60,2104,1223,3839,3327
1400000US53033006701,219,0,0,0,219,2755,0,0,0,19,335,1026,1375,2755,2401
1400000US53033006702,144,0,17,48,79,2690,0,0,145,277,36,1393,839,2690,2232
1400000US53033006703,291,17,0,111,163,3052,0,14,242,590,386,963,857,3038,1820
1400000US53033006800,131,24,21,33,53,2480,0,0,37,164,27,1134,1118,2480,2252
1400000US53033006900,329,82,0,52,195,3756,15,10,145,485,290,1625,1186,3731,2811
1400000US53033007001,25,0,0,0,25,3625,9,23,203,583,324,1606,877,3593,2483
1400000US53033007002,386,27,116,79,164,2996,0,156,332,443,166,1356,543,2840,1899
1400000US53033007101,254,3,0,33,218,2504,10,33,90,420,223,1046,682,2461,1728
1400000US53033007102,136,0,0,33,103,2339,29,20,100,302,93,889,906,2290,1795
1400000US53033007201,443,0,22,38,383,4796,0,106,189,264,309,2092,1836,4690,3928
1400000US53033007202,309,0,65,96,148,2749,86,0,183,151,0,1169,1160,2663,2329
1400000US53033007203,451,0,130,105,216,2744,150,0,117,295,99,1056,1027,2594,2083
1400000US53033007301,689,0,0,137,552,1916,12,35,87,308,254,726,494,1869,1220
1400000US53033007302,305,0,76,57,172,3854,42,77,271,337,243,1091,1793,3735,2884
1400000US53033007303,217,0,0,0,217,2055,7,0,125,170,78,799,876,2048,1675
1400000US53033007403,209,0,5,57,147,2862,0,0,157,275,135,1537,758,2862,2295
1400000US53033007404,217,0,55,86,76,2528,18,34,18,266,184,1162,846,2476,2008
1400000US53033007405,429,0,19,196,214,2297,246,25,116,496,214,885,315,2026,1200
1400000US53033007406,433,14,28,14,377,2025,12,40,182,431,64,580,716,1973,1296
1400000US53033007501,431,0,1,306,124,3694,101,5,569,479,140,1058,1342,3588,2400
1400000US53033007502,322,34,0,82,206,2247,0,0,43,293,130,1224,557,2247,1781
1400000US53033007503,327,0,0,0,327,1895,0,0,194,232,183,771,515,1895,1286
1400000US53033007600,657,199,18,131,309,3545,50,21,291,260,81,1278,1564,3474,2842
1400000US53033007700,232,21,72,0,139,4603,15,8,331,484,310,1840,1615,4580,3455
1400000US53033007800,774,92,79,138,465,4214,33,66,229,309,140,1668,1769,4115,3437
1400000US53033007901,333,18,0,37,278,2592,53,104,91,444,109,1062,729,2435,1791
1400000US53033007902,434,0,23,74,337,2856,66,13,109,507,266,1160,735,2777,1895
1400000US53033008002,403,0,74,201,128,3461,24,75,337,595,179,1303,948,3362,2251
1400000US53033008003,206,0,21,58,127,3929,71,37,378,330,22,1424,1667,3821,3091
1400000US53033008004,173,0,0,0,173,3113,0,0,94,200,115,1413,1291,3113,2704
1400000US53033008101,101,0,22,63,16,2552,182,18,184,476,155,853,684,2352,1537
1400000US53033008102,199,0,66,40,93,2140,87,150,250,467,71,685,430,1903,1115
1400000US53033008200,697,0,0,134,563,3696,1,5,209,689,99,1486,1207,3690,2693
1400000US53033008300,454,0,33,43,378,2763,200,113,241,399,107,850,853,2450,1703
1400000US53033008401,224,0,2,97,125,2532,88,89,212,405,187,817,734,2355,1551
1400000US53033008402,364,0,33,131,200,2441,0,61,223,342,41,1222,552,2380,1774
1400000US53033008500,554,108,100,148,198,3744,177,335,680,852,134,982,584,3232,1566
1400000US53033008600,2975,44,306,2153,472,3436,13,107,189,539,434,1263,891,3316,2154
1400000US53033008700,694,0,119,231,344,3305,74,92,359,655,279,1078,768,3139,1846
1400000US53033008800,149,0,40,9,100,3551,212,27,281,445,110,1281,1195,3312,2476
1400000US53033008900,492,59,83,267,83,4845,187,214,569,516,256,1707,1396,4444,3103
1400000US53033009000,313,31,56,99,127,2993,135,104,405,637,153,1103,456,2754,1559
1400000US53033009100,143,0,0,16,127,2510,711,232,368,226,130,656,187,1567,843
1400000US53033009200,118,0,0,67,51,2557,209,242,415,526,180,744,241,2106,985
1400000US53033009300,232,27,32,104,69,2693,23,90,319,531,217,908,605,2580,1513
1400000US53033009400,241,0,50,18,173,5996,559,29,592,715,420,2314,1367,5408,3681
1400000US53033009500,416,75,99,160,82,5118,105,111,335,547,555,1831,1634,4902,3465
1400000US53033009600,109,14,52,43,0,4883,130,22,262,708,276,1709,1776,4731,3485
1400000US53033009701,311,42,17,128,124,5105,0,26,518,770,286,1851,1654,5079,3505
1400000US53033009702,423,45,27,110,241,3839,20,20,308,668,279,1522,1022,3799,2544
1400000US53033009801,229,35,21,142,31,2760,44,22,392,529,135,1144,494,2694,1638
1400000US53033009802,16,0,16,0,0,3297,18,38,336,613,142,1355,795,3241,2150
1400000US53033009900,307,125,37,70,75,5064,58,114,624,945,463,1892,968,4892,2860
1400000US53033010001,596,49,134,368,45,2912,420,175,433,495,202,685,502,2317,1187
1400000US53033010002,372,37,70,106,159,3928,318,134,418,661,267,1456,674,3476,2130
1400000US53033010101,608,198,252,120,38,2870,281,141,363,615,115,781,574,2448,1355
1400000US53033010102,202,15,88,94,5,3347,134,102,562,315,91,1306,837,3111,2143
1400000US53033010200,216,63,49,79,25,3808,80,57,303,498,270,1482,1118,3671,2600
1400000US53033010301,218,0,76,14,128,3158,111,146,820,392,265,562,862,2901,1424
1400000US53033010302,63,0,0,0,63,2490,49,27,209,123,76,1090,916,2414,2006
1400000US53033010401,384,111,33,119,121,3326,375,285,725,480,188,791,482,2666,1273
1400000US53033010402,275,6,76,123,70,3648,419,161,966,622,365,766,349,3068,1115
1400000US53033010501,406,0,26,198,182,3091,86,117,340,540,163,1241,604,2888,1845
1400000US53033010502,154,0,0,108,46,4637,0,24,306,957,353,1512,1485,4613,2997
1400000US53033010601,228,35,65,111,17,3575,115,88,223,495,516,1321,817,3372,2138
1400000US53033010602,91,0,73,0,18,3530,38,36,323,618,281,1535,699,3456,2234
1400000US53033010701,108,0,7,54,47,3213,107,125,735,524,278,950,494,2981,1444
1400000US53033010702,401,49,85,192,75,2917,228,140,420,538,202,911,478,2549,1389
1400000US53033010800,378,125,29,206,18,3604,55,44,589,616,297,1247,756,3505,2003
1400000US53033010900,20,0,0,14,6,935,3,52,165,207,75,349,84,880,433
1400000US53033011001,516,133,47,280,56,3614,838,295,808,658,116,636,263,2481,899
1400000US53033011002,394,51,107,161,75,2751,525,172,779,441,249,475,110,2054,585
1400000US53033011101,442,31,116,186,109,3948,333,337,905,718,402,830,423,3278,1253
1400000US53033011102,172,16,24,18,114,4206,125,4,807,575,311,1563,821,4077,2384
1400000US53033011200,232,83,47,83,19,2654,334,271,750,379,207,580,133,2049,713
1400000US53033011300,290,42,92,84,72,4997,314,152,708,1316,736,1014,757,4531,1771
1400000US53033011401,606,59,157,287,103,3640,127,198,643,850,523,802,497,3315,1299
1400000US53033011402,341,43,119,160,19,3181,275,240,643,536,332,758,397,2666,1155
1400000US53033011500,196,14,62,53,67,3509,5,85,396,704,377,1202,740,3419,1942
1400000US53033011601,109,17,13,32,47,2613,62,32,281,248,67,1214,709,2519,1923
1400000US53033011602,188,44,34,52,58,2764,0,54,236,279,188,1461,546,2710,2007
1400000US53033011700,621,125,85,252,159,4262,587,534,1116,737,315,620,353,3141,973
1400000US53033011801,432,138,177,96,21,2406,308,108,381,388,245,708,268,1990,976
1400000US53033011802,170,29,68,73,0,3354,287,82,632,791,422,802,338,2985,1140
1400000US53033011901,195,45,0,127,23,3115,137,299,739,638,310,567,425,2679,992
1400000US53033011902,82,0,25,47,10,2858,140,123,427,858,391,693,226,2595,919
1400000US53033012000,175,40,70,57,8,2641,18,88,379,568,203,844,541,2535,1385
1400000US53033012100,52,14,10,17,11,2138,1,51,188,376,132,978,412,2086,1390
1400000US53033020100,166,9,47,38,72,2504,16,48,191,421,147,999,682,2440,1681
1400000US53033020200,213,39,19,127,28,4260,52,212,638,925,349,1211,873,3996,2084
1400000US53033020301,293,64,0,162,67,2748,121,83,375,535,206,975,453,2544,1428
1400000US53033020302,221,13,53,140,15,2881,45,224,533,534,362,723,460,2612,1183
1400000US53033020401,243,9,65,55,114,2849,79,85,493,676,385,744,387,2685,1131
1400000US53033020402,371,87,174,73,37,3820,48,81,483,552,565,1101,990,3691,2091
1400000US53033020500,460,89,71,248,52,5273,313,132,787,918,550,1700,873,4828,2573
1400000US53033020600,251,23,72,102,54,2658,93,71,349,675,254,970,246,2494,1216
1400000US53033020700,335,26,52,193,64,2959,93,166,529,495,296,971,409,2700,1380
1400000US53033020800,302,19,65,138,80,3188,32,141,404,454,268,1093,796,3015,1889
1400000US53033020900,120,16,41,41,22,2603,25,76,194,447,110,1010,741,2502,1751
1400000US53033021000,258,37,129,64,28,4606,277,171,695,986,359,1322,796,4158,2118
